params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",8.734462000000121,100,-0.08437977560724427,-0.0858108108108108,-0.12045454545454543,-0.030000000000000027,0.02008958443572906
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",8.097110999999813,100,-0.07846422635371503,-0.07909982174688056,-0.14285714285714288,-0.027586206896551748,0.020619445692078447
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",7.709509999999909,100,-0.07615463446028983,-0.07571524064171122,-0.1375,-0.012500000000000011,0.019427683442023263
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",6.863305999999966,100,-0.07839370971597051,-0.08116554054054054,-0.12432432432432435,-0.016000000000000014,0.019165061923040547
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",3.941759999999931,100,-0.11876874954727822,-0.11874999999999998,-0.17500000000000002,-0.0475,0.021438145465352474
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.95}",3.1167699999998604,100,-0.1620371667110908,-0.15625,-0.27999999999999997,-0.04000000000000001,0.053843402873190616
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.99}",2.966229999999996,100,-0.16037623095367462,-0.15147058823529413,-0.27999999999999997,-0.016000000000000014,0.054116483037189946
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",30.65934399999992,100,-0.1,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",20.023345999999947,100,-0.1,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",10.95904100000007,100,-0.07870580027851659,-0.08467071611253196,-0.11551724137931033,-0.012500000000000011,0.01795227131688285
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",13.24069099999997,100,-0.0904330305527619,-0.09337005019520356,-0.10692307692307691,-0.04615384615384617,0.010143075491762275
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",9.51430900000014,100,-0.07586833620659102,-0.07586206896551721,-0.11636363636363632,-0.027586206896551748,0.01747457302612903
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",8.95681999999988,100,-0.0741246022528261,-0.07679487179487177,-0.11666666666666663,-2.114710523095536e-17,0.018921902323035297
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",8.777339999999867,100,-0.0760217484862688,-0.07666666666666665,-0.12250000000000001,-0.02222222222222224,0.017803253913842097
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",5.2772070000000895,100,-0.08232493679629595,-0.0797096713965646,-0.14500000000000002,-0.03437500000000001,0.02312146381858311
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.95}",2.5079800000000887,100,-0.17324618217759766,-0.16923076923076924,-0.27999999999999997,-0.11499999999999998,0.03812183490018608
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.99}",2.412738999999874,100,-0.17430133155197475,-0.16923076923076924,-0.27999999999999997,-0.0045454545454545695,0.04228452852571831
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",24.479182000000037,100,-0.1,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",12.38141900000005,100,-0.08497636031849323,-0.08757352941176469,-0.109375,-0.03823529411764707,0.012358569476888029
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",13.022920999999997,100,-0.08848622418723555,-0.09317028027498678,-0.10865384615384616,-0.04000000000000001,0.012725407249611957
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",11.559489000000212,100,-0.0821761980644731,-0.08339895013123359,-0.11730769230769228,-0.04615384615384617,0.01115578200290395
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",9.030807999999979,100,-0.07322922759962203,-0.07653558052434456,-0.11698113207547167,-0.02222222222222224,0.018146941168126207
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",8.424831999999924,100,-0.07533141815227852,-0.07835051546391752,-0.12142857142857141,-0.02222222222222224,0.01761513271615843
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",8.505673999999999,100,-0.07273247277266409,-0.07162162162162161,-0.11999999999999997,-0.025000000000000022,0.021936288180511593
